id,airport,lon,lat
57,GMP,126.7910004,37.55830002
58,GMP,126.7910004,37.55830002
59,GMP,126.7910004,37.55830002
60,GMP,126.7910004,37.55830002
75,GMP,126.7910004,37.55830002
81,GMP,126.7910004,37.55830002
3,GMP,126.7910004,37.55830002
9,GMP,126.7910004,37.55830002
27,GMP,126.7910004,37.55830002
30,GMP,126.7910004,37.55830002
33,GMP,126.7910004,37.55830002
35,GMP,126.7910004,37.55830002
37,GMP,126.7910004,37.55830002
41,GMP,126.7910004,37.55830002
43,GMP,126.7910004,37.55830002
47,GMP,126.7910004,37.55830002
64,GMP,126.7910004,37.55830002
66,GMP,126.7910004,37.55830002
69,GMP,126.7910004,37.55830002
70,GMP,126.7910004,37.55830002
72,GMP,126.7910004,37.55830002
73,GMP,126.7910004,37.55830002
79,GMP,126.7910004,37.55830002
26,HIN,128.0700073,35.08850098
27,HIN,128.0700073,35.08850098
61,HIN,128.0700073,35.08850098
10,HIN,128.0700073,35.08850098
20,HIN,128.0700073,35.08850098
48,HIN,128.0700073,35.08850098
28,ICN,126.4509964,37.46910095
29,ICN,126.4509964,37.46910095
62,ICN,126.4509964,37.46910095
11,ICN,126.4509964,37.46910095
39,ICN,126.4509964,37.46910095
49,ICN,126.4509964,37.46910095
30,KPO,129.4199982,35.98789978
63,KPO,129.4199982,35.98789978
64,KPO,129.4199982,35.98789978
21,KPO,129.4199982,35.98789978
50,KPO,129.4199982,35.98789978
56,KPO,129.4199982,35.98789978
31,KUV,126.6159973,35.90380096
82,KUV,126.6159973,35.90380096
12,KUV,126.6159973,35.90380096
80,KUV,126.6159973,35.90380096
32,KWJ,126.8089981,35.12639999
33,KWJ,126.8089981,35.12639999
65,KWJ,126.8089981,35.12639999
66,KWJ,126.8089981,35.12639999
13,KWJ,126.8089981,35.12639999
22,KWJ,126.8089981,35.12639999
51,KWJ,126.8089981,35.12639999
57,KWJ,126.8089981,35.12639999
67,MWX,126.382814,34.991406
52,MWX,126.382814,34.991406
6,PUS,128.9380035,35.17950058
34,PUS,128.9380035,35.17950058
35,PUS,128.9380035,35.17950058
68,PUS,128.9380035,35.17950058
69,PUS,128.9380035,35.17950058
4,PUS,128.9380035,35.17950058
14,PUS,128.9380035,35.17950058
23,PUS,128.9380035,35.17950058
53,PUS,128.9380035,35.17950058
58,PUS,128.9380035,35.17950058
36,RSU,127.6169968,34.84230042
37,RSU,127.6169968,34.84230042
70,RSU,127.6169968,34.84230042
15,RSU,127.6169968,34.84230042
24,RSU,127.6169968,34.84230042
59,RSU,127.6169968,34.84230042
38,TAE,128.6589966,35.89410019
39,TAE,128.6589966,35.89410019
71,TAE,128.6589966,35.89410019
76,TAE,128.6589966,35.89410019
16,TAE,128.6589966,35.89410019
29,TAE,128.6589966,35.89410019
54,TAE,128.6589966,35.89410019
74,TAE,128.6589966,35.89410019
40,USN,129.352005,35.59349823
41,USN,129.352005,35.59349823
72,USN,129.352005,35.59349823
17,USN,129.352005,35.59349823
25,USN,129.352005,35.59349823
60,USN,129.352005,35.59349823
42,WJU,127.9599991,37.43809891
18,WJU,127.9599991,37.43809891
